,0,1,InspName,InspAddress
11294,Szechwan JMC,243 W Cermak Rd,SZECHWAN JMC,243 W CERMAK RD 
11295,Community Grocery,3336 W Bryn Mawr Ave,COMMUNITY GROCERY,3336 W BRYN MAWR AVE 
11296,La Flor De Mexico Restaurant,2156 W 23rd St,LA FLOR DE MEXICO RESTARANT,2156 W 23RD ST 
11297,Señor Pan Café,5059 W Diversey Ave,SENOR PAN CAFE EXPRESS,5059 W DIVERSEY AVE 
11298,Turner's Family Dining,8233 S Ashland Ave,TURNERS FAMILY DINING,8233 S ASHLAND AVE 
11299,Venue SIX10,610 S Michigan Ave,VENUE SIX10 SERVICES,610-616 S MICHIGAN AVE 
11300,Emma's Restaurant,5419 W North Ave,VICTOR'S RESTAURANT AND PIZZA,5418 W NORTH AVE 
11301,Broasted Chicken Royal,5930 W Lawrence Ave,BROASTED CHICKEN ROYAL CHICAGO LTD,5930 W LAWRENCE AVE 
11302,Montrose and Cicero Shell,4401 N Cicero Ave,MONTROSE CICERO SHELL,4401-4443 N CICERO AVE 
11303,Wicker Basket Cafe,2113 W Division St,WICKER BASKET MARKET,2113 W DIVISION ST 
11304,Habana Libre Restaurant,1440 W Chicago Ave,HABANA LIBRE,1440 W CHICAGO AVE 
11305,Señor Pan Cafe,4612 W Fullerton Ave,Senor Pan Cafe Inc.,4612 W FULLERTON AVE 
11306,K-Kitchen,131 N Clinton St,K-KITCHEN,131 N CLINTON ST 
11307,Sapori Antichi Bar Italiano,22 W Ohio St,SAPORI ANTICHI BAR ITALIANO,22 W OHIO ST 
11308,Hyatt Regency McCormick Place,2233 S Dr Martin Luther King Jr Dr,HYATT REGENCY MCCORMICK PLACE - CHICAGO,2233 S DR MARTIN LUTHER KING JR DR 
11309,Mandarin Kitchen,2143 S Archer Ave,MANDARIN KITCHEN,2143 S ARCHER AVE 
11310,Danke,125 S Clark St,DANKE MARKET,125 S CLARK ST 
11311,The French Lunchbox,131 N Clinton St,"THE FRENCH LUNCHBOX, INC.",131 N CLINTON ST 
11312,Hala In Lakeview,2852 N Clark St,HALA IN LAKEVIEW,2852 N CLARK ST 
11313,Golden Village,3619 W North Ave,THE GOLDEN VILLAGE,3619 W NORTH AVE 
11314,Kids Wonderland,2028 S Michigan Ave,KIDS WONDERLAND,2028 S MICHIGAN AVE 
11315,McCormick YMCA,1834 N Lawndale Ave,MCCORMICK YMCA PRESCHOOL,1834 N LAWNDALE AVE 
11316,Gordo's Tamales,2811 W 55th St,GORDO'S TAMALES,2811 W 55TH ST 
11317,Chocolate Shoppe Ice Cream,5337 W Devon Ave,CHOCOLATE SHOPPE OF IL,5337 W DEVON AVE 
11318,Greek Kitchen,400 S Wells St,GRK GREEK KITCHEN,400 S WELLS ST 
11319,Ray's Round-Up Bar & Grill,3930 N Cicero Ave,RAY'S ROUND UP BAR-GRILL,3930 N CICERO AVE 
11320,Santullo's New York-Style Pizza,131 N Clinton St,SANTULLO'S,131 N CLINTON ST 
11321,Mercedes-Benz of Chicago Service Center,949 N Elston Ave,MERCEDES BENZ OF CHICAGO,949 N ELSTON AVE 
11322,Robey Pizza Company,1958 W Roscoe St,RIVERVIEW TAVERN / ROBEY PIZZA COMPANY,1954-1958 W ROSCOE ST 
11323,Bubamara Pizza & Pasta,4607 N Wolcott Ave,BUBAMARA PIZZA & PASTA,4607 N WOLCOTT AVE 
11324,Taqueria & Restaurant Mazamitla,5344 W Fullerton Ave,SALAM RESTAURANT,1524 W FULLERTON AVE 
11325,South Chicago YMCA,3039 E 91st St,SOUTH CHICAGO YMCA PRE SCHOOL,3039 E 91ST ST 
11326,Sheridan Lake Apartments,6401-6415 N Sheridan Rd,Sheridan/Leland Apartments,4645 N Sheridan 
